"gender","race","age","income","education","stratum","strata_n","mB_fit","mB_upr","mB_lwr","mBprob_fit","mBprob_upr","mBprob_lwr","mBmF","obesity_mean","rankprob"
"man","white","young","Ilow","Elow","manwhiteyoungIlowElow",401,-1.86049438065017,-1.57951550466956,-2.13753646057975,0.135323743836816,0.16949767630948,0.106267001619803,0.135596505729724,12.7182044887781,8
"man","white","young","Ilow","Emid","manwhiteyoungIlowEmid",1013,-1.7471909282346,-1.54990159593433,-1.93990221279885,0.147514446154201,0.173819126670881,0.123384778207038,0.148264054315842,14.7087857847976,13
"man","white","young","Ilow","Ehigh","manwhiteyoungIlowEhigh",194,-1.7907902037118,-1.46347344205276,-2.13244325284998,0.142936728864584,0.186223989851135,0.10547901376059,0.143387859621589,14.4329896907216,10
"man","white","young","Imid","Elow","manwhiteyoungImidElow",82,-1.55358475864247,-1.17783631498073,-1.93618563381001,0.172453907939899,0.233794507807394,0.126294181428355,0.171794823649152,18.2926829268293,38
"man","white","young","Imid","Emid","manwhiteyoungImidEmid",833,-1.58930027636813,-1.37529738636141,-1.80255137281421,0.170261441074821,0.202823308682472,0.14243339694688,0.169670006180712,17.046818727491,36
"man","white","young","Imid","Ehigh","manwhiteyoungImidEhigh",529,-1.6562874244436,-1.43436699210767,-1.91036246967823,0.159308202439763,0.194929873141695,0.129058591343586,0.159935198907878,16.2570888468809,22
"man","white","young","Ihigh","Elow","manwhiteyoungIhighElow",9,-1.68492006015402,-1.21095885457011,-2.12236689136328,0.155561992878874,0.226965331714423,0.107984255048062,0.15641899348712,22.2222222222222,16
"man","white","young","Ihigh","Emid","manwhiteyoungIhighEmid",103,-1.6141299672229,-1.24306308748596,-1.98728285426697,0.163189331607005,0.220352588997993,0.118937030422889,0.165221300423406,18.4466019417476,24
"man","white","young","Ihigh","Ehigh","manwhiteyoungIhighEhigh",492,-1.86489527303773,-1.59358692096824,-2.14536392638233,0.134495383240617,0.167131805673098,0.105548214950526,0.133911714610909,13.2113821138211,7
"man","white","mid","Ilow","Elow","manwhitemidIlowElow",781,-1.50202949295066,-1.28685257428768,-1.72338350054851,0.182812049817341,0.214792083263898,0.14977114347507,0.181182309306729,17.4135723431498,47
"man","white","mid","Ilow","Emid","manwhitemidIlowEmid",706,-1.14497904954972,-0.943246780663513,-1.34660140910812,0.24157003173163,0.279689617420859,0.206116209081182,0.240911078917687,24.3626062322946,104
"man","white","mid","Ilow","Ehigh","manwhitemidIlowEhigh",115,-1.2356017084649,-0.916427327326309,-1.55669631834981,0.225308811138446,0.293928454038444,0.173681385456702,0.224366644196528,24.3478260869565,88
"man","white","mid","Imid","Elow","manwhitemidImidElow",308,-1.11083667424484,-0.847504317561081,-1.36367551151481,0.247050082675681,0.295252120648214,0.201286375621185,0.24653957786636,25,113
"man","white","mid","Imid","Emid","manwhitemidImidEmid",734,-1.06903795394623,-0.867869779195364,-1.25877870958981,0.256509255423788,0.297079498474084,0.218687865176339,0.255934963911302,25.8855585831063,123
"man","white","mid","Imid","Ehigh","manwhitemidImidEhigh",500,-1.06241849092421,-0.828213434358575,-1.29434885082811,0.25609954589426,0.305166538059058,0.219692776505837,0.255466329025479,26.4,122
"man","white","mid","Ihigh","Elow","manwhitemidIhighElow",24,-1.25968866159186,-0.857495621338527,-1.66602471940965,0.21726536979611,0.303209780840289,0.154283304733534,0.218024505049214,20.8333333333333,74
"man","white","mid","Ihigh","Emid","manwhitemidIhighEmid",154,-0.954996715312668,-0.660201519802803,-1.25136743722391,0.275897616814882,0.337901408906246,0.219711524733725,0.277112961250128,31.8181818181818,145
"man","white","mid","Ihigh","Ehigh","manwhitemidIhighEhigh",645,-1.30054558096387,-1.08346285021338,-1.51467645902326,0.214172867568994,0.255324665528362,0.180204915577378,0.213290164735687,21.5503875968992,72
"man","white","old","Ilow","Elow","manwhiteoldIlowElow",1070,-1.458254890416,-1.25235585787328,-1.65994342912085,0.188814732300678,0.217333321082111,0.160456021094242,0.188818253448465,18.5046728971963,55
"man","white","old","Ilow","Emid","manwhiteoldIlowEmid",435,-1.25330794288808,-1.02947526228691,-1.48969262545155,0.223075823027692,0.267462783517316,0.184103918764688,0.222452292501157,22.2988505747126,83
"man","white","old","Ilow","Ehigh","manwhiteoldIlowEhigh",67,-1.30188744037385,-0.926238291550309,-1.68144622419995,0.217464657260305,0.283814052013594,0.159724138287195,0.215418429730057,23.8805970149254,75
"man","white","old","Imid","Elow","manwhiteoldImidElow",838,-1.23286335910156,-1.03094042077622,-1.43544625886063,0.224598788232483,0.262878767027718,0.193366358325802,0.225410053819605,22.4343675417661,86
"man","white","old","Imid","Emid","manwhiteoldImidEmid",880,-1.05498723764199,-0.862945578850028,-1.2609033345389,0.25912971633156,0.295476263929564,0.22374730555039,0.258163700640784,26.1363636363636,125
"man","white","old","Imid","Ehigh","manwhiteoldImidEhigh",311,-1.0685261424716,-0.824495894162762,-1.33365635847588,0.255566902552203,0.304123135214056,0.208761146447093,0.255105733198734,27.0096463022508,121
"man","white","old","Ihigh","Elow","manwhiteoldIhighElow",112,-1.18939518911052,-0.872993496230048,-1.55944644146489,0.232621028700667,0.300160951248104,0.174977393935731,0.232787586665107,25,96
"man","white","old","Ihigh","Emid","manwhiteoldIhighEmid",328,-1.13126901602316,-0.88571436384269,-1.39695320402544,0.243991554775437,0.294674623929066,0.200193566178482,0.243364365783897,25.3048780487805,111
"man","white","old","Ihigh","Ehigh","manwhiteoldIhighEhigh",644,-1.22227377737131,-1.01052369032839,-1.43949029351772,0.227257252894874,0.265795226894409,0.189318565183277,0.226105502756412,23.1366459627329,91
"man","black","young","Ilow","Elow","manblackyoungIlowElow",256,-1.5098563743498,-1.24422060230102,-1.81641247507018,0.181423304080853,0.229202016085146,0.140906143826508,0.181205213789437,18.359375,45
"man","black","young","Ilow","Emid","manblackyoungIlowEmid",557,-1.73594083863584,-1.48651514070708,-1.98889026274988,0.150043939525939,0.186147551324354,0.119643314167054,0.15055977754153,14.3626570915619,15
"man","black","young","Ilow","Ehigh","manblackyoungIlowEhigh",69,-1.5484981963136,-1.17453868029315,-1.96397798776863,0.173147116573536,0.242427811770076,0.124727081516322,0.174748702760977,20.2898550724638,40
"man","black","young","Imid","Elow","manblackyoungImidElow",47,-1.53627494525776,-1.1383896353113,-1.93101104518787,0.17724128066492,0.243113919841139,0.127348832884532,0.177370337051183,14.8936170212766,43
"man","black","young","Imid","Emid","manblackyoungImidEmid",278,-1.62610348691415,-1.33673326426783,-1.91313787838812,0.163999571618991,0.210038287521237,0.130982668643364,0.165442049589873,15.4676258992806,25
"man","black","young","Imid","Ehigh","manblackyoungImidEhigh",122,-1.23763178134909,-0.887588856862372,-1.55398513152302,0.226102547000176,0.291641172821334,0.174808219087022,0.227439725952616,28.6885245901639,90
"man","black","young","Ihigh","Elow","manblackyoungIhighElow",2,-1.59464043514757,-1.11475618464836,-2.06943820104409,0.169946256284086,0.244363680245873,0.115515246411274,0.170519145653478,0,34
"man","black","young","Ihigh","Emid","manblackyoungIhighEmid",22,-1.59857934371253,-1.15320688135544,-2.03787324209382,0.167994397600875,0.231089677650515,0.114872198176857,0.167716527597004,13.6363636363636,28
"man","black","young","Ihigh","Ehigh","manblackyoungIhighEhigh",56,-1.56752859486267,-1.18249141571186,-1.96738612151203,0.172656892048946,0.242602732701242,0.122008824223853,0.173328977958212,21.4285714285714,39
"man","black","mid","Ilow","Elow","manblackmidIlowElow",462,-1.43605224094131,-1.1901961046409,-1.69912202479996,0.190044621286908,0.22998460585516,0.156717848467382,0.190961433817007,17.5324675324675,56
"man","black","mid","Ilow","Emid","manblackmidIlowEmid",340,-1.15003557933305,-0.881331231576921,-1.41727148222568,0.242647191705039,0.292049192666246,0.200611249712638,0.241381656646278,23.8235294117647,107
"man","black","mid","Ilow","Ehigh","manblackmidIlowEhigh",50,-1.25326624214469,-0.851322199769476,-1.6401846596789,0.221729943019096,0.295630297031275,0.163667564226814,0.222117909987073,20,80
"man","black","mid","Imid","Elow","manblackmidImidElow",126,-1.18126577338292,-0.859441289588904,-1.52463728083767,0.232362884952165,0.292669940509858,0.181230045620028,0.233548409483726,20.6349206349206,94
"man","black","mid","Imid","Emid","manblackmidImidEmid",268,-0.927051011978527,-0.673342070020355,-1.19348723228254,0.283324748144478,0.343502307092887,0.23492627465228,0.28365979743283,29.1044776119403,151
"man","black","mid","Imid","Ehigh","manblackmidImidEhigh",113,-1.01549061623097,-0.699829697101228,-1.34689092347706,0.264680585763828,0.331117341296723,0.203920441369524,0.264156852519989,28.3185840707965,134
"man","black","mid","Ihigh","Elow","manblackmidIhighElow",11,-1.19874957043585,-0.76407920066654,-1.62854749844543,0.235206670594217,0.323695391478006,0.162788728941142,0.23266447882363,9.09090909090909,100
"man","black","mid","Ihigh","Emid","manblackmidIhighEmid",39,-1.13499771696919,-0.748098997084039,-1.55681373736289,0.243913166858649,0.325461769657242,0.177807538429449,0.242066994767102,23.0769230769231,110
"man","black","mid","Ihigh","Ehigh","manblackmidIhighEhigh",63,-1.07614491330595,-0.677777490196862,-1.43790237070723,0.25245807067867,0.332379799680389,0.185190312160416,0.253760678237368,30.1587301587302,117
"man","black","old","Ilow","Elow","manblackoldIlowElow",562,-1.62056706738475,-1.37089598031185,-1.84944746061608,0.165911113190247,0.202580872607642,0.135838597513709,0.165968644856464,14.7686832740214,26
"man","black","old","Ilow","Emid","manblackoldIlowEmid",165,-1.20030888766147,-0.89268579375963,-1.50839705831766,0.232520570589484,0.289173400370264,0.181241882186318,0.23348869657375,22.4242424242424,95
"man","black","old","Ilow","Ehigh","manblackoldIlowEhigh",21,-1.29774178910758,-0.864195090846499,-1.72595722790801,0.213925049782942,0.294636535203979,0.149321203172074,0.215053790358542,14.2857142857143,71
"man","black","old","Imid","Elow","manblackoldImidElow",265,-1.27256792554547,-0.996476551357564,-1.54126302042651,0.218681246178031,0.268032605961021,0.173048349824468,0.218102083952266,20,77
"man","black","old","Imid","Emid","manblackoldImidEmid",207,-1.06858672328633,-0.774128001216621,-1.33572090785851,0.258745544194671,0.312515164321407,0.204674027078564,0.257472537667684,25.6038647342995,124
"man","black","old","Imid","Ehigh","manblackoldImidEhigh",43,-0.955324406168893,-0.541657165423541,-1.36669740322416,0.273327955252994,0.357864685651274,0.203354304436716,0.278217681939358,37.2093023255814,144
"man","black","old","Ihigh","Elow","manblackoldIhighElow",20,-0.999460874795232,-0.57522927555348,-1.42065860363653,0.264684364583038,0.357642224441916,0.189607464235607,0.267331791792634,40,135
"man","black","old","Ihigh","Emid","manblackoldIhighEmid",35,-1.19890005840673,-0.769556087939477,-1.61431421389955,0.233142876056972,0.306928604082191,0.165178702115596,0.232153588339777,20,98
"man","black","old","Ihigh","Ehigh","manblackoldIhighEhigh",72,-1.18790704671196,-0.84432526629566,-1.55201194046236,0.234803281800078,0.308066585975741,0.17325540605586,0.233425585084156,25,99
"man","brown","young","Ilow","Elow","manbrownyoungIlowElow",1322,-1.92979941272345,-1.72760745963437,-2.12332399286303,0.12604930884062,0.149882566483319,0.105462331269469,0.126570317041836,12.2541603630862,3
"man","brown","young","Ilow","Emid","manbrownyoungIlowEmid",2596,-2.01354624321867,-1.82999334525179,-2.18432388997393,0.117886487000121,0.136879819762785,0.101165277772652,0.117846000725262,11.517719568567,2
"man","brown","young","Ilow","Ehigh","manbrownyoungIlowEhigh",302,-1.6764151449883,-1.39459831065483,-1.95030661541931,0.156952686430571,0.198684472584382,0.124562948770797,0.158226092299506,16.5562913907285,17
"man","brown","young","Imid","Elow","manbrownyoungImidElow",156,-1.75602154401181,-1.43002183859847,-2.10410277004626,0.149302980539068,0.197730834452652,0.107749424698983,0.1478557583899,12.8205128205128,14
"man","brown","young","Imid","Emid","manbrownyoungImidEmid",1036,-1.67168276615014,-1.46462589723027,-1.85889652237671,0.158825746209583,0.185471140864259,0.134110725224336,0.158605617358834,15.7335907335907,19
"man","brown","young","Imid","Ehigh","manbrownyoungImidEhigh",506,-1.60365340121066,-1.36601974997825,-1.8608920341159,0.167074359773522,0.207184659415848,0.136492746777731,0.167586505904395,17.1936758893281,27
"man","brown","young","Ihigh","Elow","manbrownyoungIhighElow",10,-1.58051546088631,-1.13100982177061,-2.01809944134731,0.168646387431103,0.243765473925223,0.119173528056062,0.170069064620817,40,29
"man","brown","young","Ihigh","Emid","manbrownyoungIhighEmid",70,-1.59321111675438,-1.17394141483672,-1.99391107649092,0.169703979971698,0.230468151105835,0.122423539938307,0.168848128331409,20,33
"man","brown","young","Ihigh","Ehigh","manbrownyoungIhighEhigh",215,-1.46922132376058,-1.15583551194178,-1.76100330428236,0.186355126877746,0.238061116940349,0.143395609337092,0.186731172140139,21.8604651162791,51
"man","brown","mid","Ilow","Elow","manbrownmidIlowElow",2180,-1.45072991625603,-1.29265460913726,-1.6092667803049,0.188538219864088,0.214981628176513,0.165091559142791,0.18846353087014,18.6238532110092,53
"man","brown","mid","Ilow","Emid","manbrownmidIlowEmid",1483,-1.34125583734162,-1.18428857856637,-1.5181872267024,0.206111380117224,0.236969482992326,0.179410538642087,0.206019994408459,20.4315576534053,68
"man","brown","mid","Ilow","Ehigh","manbrownmidIlowEhigh",183,-1.36031173595234,-1.04377930650623,-1.67711012284734,0.201113565486147,0.257269684888115,0.157402923999686,0.201656439349142,19.672131147541,60
"man","brown","mid","Imid","Elow","manbrownmidImidElow",471,-1.35936521819675,-1.11830999975561,-1.59262304260099,0.202336237339227,0.243771311741283,0.167001458737809,0.202611289116795,19.3205944798301,63
"man","brown","mid","Imid","Emid","manbrownmidImidEmid",967,-1.00161348638271,-0.832266320470248,-1.19076077061103,0.269641044794818,0.305144533983411,0.235468533468065,0.267775935284818,27.0941054808687,141
"man","brown","mid","Imid","Ehigh","manbrownmidImidEhigh",448,-0.963511180045773,-0.736878745573583,-1.20158766525589,0.276388537566506,0.322768337594813,0.232904573260318,0.274673381301295,28.7946428571429,146
"man","brown","mid","Ihigh","Elow","manbrownmidIhighElow",30,-1.23655022595771,-0.827796073242381,-1.63606209771699,0.225540346090084,0.307221326034937,0.159621088481598,0.224935651297095,23.3333333333333,89
"man","brown","mid","Ihigh","Emid","manbrownmidIhighEmid",116,-1.02118659306628,-0.712760386664599,-1.363260221734,0.264864610288229,0.334023376234503,0.206205765289196,0.262831255380792,30.1724137931034,136
"man","brown","mid","Ihigh","Ehigh","manbrownmidIhighEhigh",317,-1.17684163333035,-0.909700957895347,-1.42073944424827,0.235990797482645,0.28363745458679,0.19217881961843,0.234677413586892,24.6056782334385,101
"man","brown","old","Ilow","Elow","manbrownoldIlowElow",2431,-1.66526043278724,-1.49511954408186,-1.84631079181488,0.158859408100864,0.182418332289353,0.138206462052042,0.159033052856279,15.5491567256273,20
"man","brown","old","Ilow","Emid","manbrownoldIlowEmid",718,-1.46042249970208,-1.25338408791174,-1.66788582572055,0.188741363841357,0.224905175000983,0.156264251253928,0.188512029092935,18.2451253481894,54
"man","brown","old","Ilow","Ehigh","manbrownoldIlowEhigh",68,-1.3603524132957,-0.987091156053304,-1.7392904798352,0.203906244894034,0.27487421924328,0.14634971009476,0.20555825037047,20.5882352941176,66
"man","brown","old","Imid","Elow","manbrownoldImidElow",981,-1.48250543032783,-1.28283105928225,-1.69680524808306,0.183691927785807,0.21387701589774,0.156050069271333,0.183936957848197,17.737003058104,48
"man","brown","old","Imid","Emid","manbrownoldImidEmid",788,-1.22372027551682,-0.996506526268306,-1.41083988558639,0.230286289344374,0.263267196426767,0.196726838898798,0.229331534341365,22.8426395939086,93
"man","brown","old","Imid","Ehigh","manbrownoldImidEhigh",176,-1.24179046585285,-0.958961244082965,-1.55311699596804,0.2223344949534,0.282157899620602,0.175510288557666,0.223103338761134,22.7272727272727,82
"man","brown","old","Ihigh","Elow","manbrownoldIhighElow",86,-1.03822307840077,-0.691611576318608,-1.40644517740957,0.262350423455476,0.33514410825842,0.199025267890478,0.260271460915186,31.3953488372093,131
"man","brown","old","Ihigh","Emid","manbrownoldIhighEmid",226,-1.04930376562869,-0.747130567056993,-1.32005271699166,0.26033820452101,0.325246308477939,0.211450847625828,0.261789170680701,28.3185840707965,127
"man","brown","old","Ihigh","Ehigh","manbrownoldIhighEhigh",240,-1.38334113917584,-1.11200254821412,-1.65006016749072,0.201520210893664,0.255630126862687,0.159403904857207,0.200345489535593,20,61
"woman","white","young","Ilow","Elow","womanwhiteyoungIlowElow",322,-1.27832209379562,-1.01875036318947,-1.54095894333824,0.214887029351463,0.265433597217284,0.175587558537085,0.216418069570356,23.6024844720497,73
"woman","white","young","Ilow","Emid","womanwhiteyoungIlowEmid",1198,-1.55434890181681,-1.34980120600132,-1.74890583485096,0.174909661372298,0.202944260955709,0.150206651338975,0.175272926183881,17.6126878130217,41
"woman","white","young","Ilow","Ehigh","womanwhiteyoungIlowEhigh",319,-1.75416372021836,-1.48013697922852,-2.03225137309162,0.146907935020014,0.185131431550716,0.114789690737053,0.147392962583344,14.4200626959248,11
"woman","white","young","Imid","Elow","womanwhiteyoungImidElow",41,-1.33934446893393,-0.939691528730117,-1.74632190712024,0.2023385598194,0.275223552234164,0.144862471930346,0.205596817194085,29.2682926829268,64
"woman","white","young","Imid","Emid","womanwhiteyoungImidEmid",533,-1.67259805443777,-1.43476329268744,-1.90907301447584,0.158917862570164,0.192151066487855,0.13040394639319,0.159048978550516,15.3846153846154,21
"woman","white","young","Imid","Ehigh","womanwhiteyoungImidEhigh",696,-1.92423438750648,-1.68979490353015,-2.15514894075326,0.128423190364771,0.15864711835692,0.104614170475958,0.127641458961584,11.9252873563218,5
"woman","white","young","Ihigh","Elow","womanwhiteyoungIhighElow",2,-1.58177855330675,-1.12380795593944,-2.05470659865605,0.170013419917128,0.251422989264285,0.112981230464249,0.169292734884183,50,35
"woman","white","young","Ihigh","Emid","womanwhiteyoungIhighEmid",71,-1.57660413369862,-1.22597990360891,-1.96568425459368,0.169427997794124,0.236527286484421,0.120377168998147,0.17049983668466,18.3098591549296,31
"woman","white","young","Ihigh","Ehigh","womanwhiteyoungIhighEhigh",503,-2.16286698006785,-1.8924685971551,-2.44975026968102,0.103186351989299,0.13215853575009,0.07946806083934,0.10301037817802,8.54870775347912,1
"woman","white","mid","Ilow","Elow","womanwhitemidIlowElow",670,-0.940704049157,-0.726892305455688,-1.15038131326004,0.279108142318073,0.324785842618225,0.23931343771001,0.280327368262151,28.6567164179104,149
"woman","white","mid","Ilow","Emid","womanwhitemidIlowEmid",940,-1.15676508471311,-0.952791660438122,-1.35471276221483,0.241034780106813,0.274972824897664,0.207965724075719,0.239471601961387,23.936170212766,103
"woman","white","mid","Ilow","Ehigh","womanwhitemidIlowEhigh",265,-1.22890439612536,-0.969423795457739,-1.51399097730712,0.224479130161623,0.281318875604654,0.183323509708351,0.224900642867487,22.6415094339623,85
"woman","white","mid","Imid","Elow","womanwhitemidImidElow",211,-1.01403684246593,-0.724459378298817,-1.28880817703779,0.265928809597096,0.327450085289444,0.213401793104447,0.26467731303728,27.0142180094787,137
"woman","white","mid","Imid","Emid","womanwhitemidImidEmid",679,-1.13670607659184,-0.921167622937041,-1.3483921208583,0.243453960583935,0.281991590597168,0.205973068032466,0.243162952045722,24.1531664212077,108
"woman","white","mid","Imid","Ehigh","womanwhitemidImidEhigh",746,-1.47542751617943,-1.26290636085948,-1.68392490255446,0.185241490612926,0.219793016612441,0.155293010901396,0.185017688056862,17.6943699731903,50
"woman","white","mid","Ihigh","Elow","womanwhitemidIhighElow",15,-1.10002972462914,-0.703136088804034,-1.51996790750885,0.248689559167241,0.334610200566013,0.176684098423537,0.247553483632517,33.3333333333333,116
"woman","white","mid","Ihigh","Emid","womanwhitemidIhighEmid",110,-1.4319109881883,-1.08032633919441,-1.776308280793,0.192822260820783,0.253683287320761,0.144625650889711,0.192729489118447,14.5454545454545,58
"woman","white","mid","Ihigh","Ehigh","womanwhitemidIhighEhigh",665,-1.8700122847944,-1.63822609237215,-2.10736662123675,0.132772724993505,0.162373093418918,0.10647526295825,0.132537321096597,11.4285714285714,6
"woman","white","old","Ilow","Elow","womanwhiteoldIlowElow",1113,-1.07867864399582,-0.893459232892889,-1.26288724537005,0.252847697478198,0.293286512033301,0.220287040929111,0.254352081966666,25.6064690026954,118
"woman","white","old","Ilow","Emid","womanwhiteoldIlowEmid",640,-1.03676453008353,-0.836936895923692,-1.25016010391855,0.261526575433991,0.30364612429265,0.225545913522188,0.262724836782406,26.71875,130
"woman","white","old","Ilow","Ehigh","womanwhiteoldIlowEhigh",103,-1.46083915753398,-1.11375483318294,-1.81555489014954,0.190866572651991,0.249462602550602,0.143711289988573,0.189727439257192,15.5339805825243,57
"woman","white","old","Imid","Elow","womanwhiteoldImidElow",734,-0.942958325751714,-0.752000512731335,-1.14350991262564,0.27891492845403,0.321426411707684,0.241709907339805,0.280376385181756,28.4741144414169,147
"woman","white","old","Imid","Emid","womanwhiteoldImidEmid",981,-0.993798289778759,-0.799883706513493,-1.17459620177253,0.272171432069518,0.310629105625924,0.235931105127977,0.271779719539989,27.420998980632,142
"woman","white","old","Imid","Ehigh","womanwhiteoldImidEhigh",483,-1.25368573636204,-1.02986708546254,-1.4930271529442,0.222151824891538,0.268097105491903,0.187748691816841,0.223157766607377,22.1532091097308,81
"woman","white","old","Ihigh","Elow","womanwhiteoldIhighElow",84,-1.26270808981443,-0.922547492540959,-1.65148925400457,0.218110814178077,0.288683667750299,0.165012354797577,0.219713961583386,20.2380952380952,76
"woman","white","old","Ihigh","Emid","womanwhiteoldIhighEmid",282,-1.22450127857513,-0.967995125901076,-1.5148233426433,0.224867076885331,0.275098956526412,0.180199701615821,0.225811144115651,22.3404255319149,87
"woman","white","old","Ihigh","Ehigh","womanwhiteoldIhighEhigh",853,-1.52167440166691,-1.32595729183785,-1.72696109588836,0.178303578322654,0.213169336956471,0.149279658178135,0.178756609371621,17.3505275498242,44
"woman","black","young","Ilow","Elow","womanblackyoungIlowElow",205,-1.09865847810248,-0.810707167829655,-1.40579441649384,0.248134185158127,0.302864726164037,0.201163871712258,0.248844787147057,28.2926829268293,115
"woman","black","young","Ilow","Emid","womanblackyoungIlowEmid",676,-1.36600842699931,-1.14106015468205,-1.58850069661712,0.202918221633223,0.239820427744105,0.170891494346904,0.204362218592662,20.7100591715976,65
"woman","black","young","Ilow","Ehigh","womanblackyoungIlowEhigh",139,-1.54181316126215,-1.20665771754895,-1.86576668260307,0.176769224165701,0.231708522221725,0.134811647636882,0.176988190733339,17.9856115107914,42
"woman","black","young","Imid","Elow","womanblackyoungImidElow",7,-1.34641649897152,-0.900477471293182,-1.80995647483004,0.205407596025358,0.291571127731564,0.144323682976629,0.205819085065397,28.5714285714286,67
"woman","black","young","Imid","Emid","womanblackyoungImidEmid",132,-1.58345077493293,-1.22354095424294,-1.92243662765433,0.171803852554696,0.222136958891817,0.130087888256375,0.172703327548828,14.3939393939394,37
"woman","black","young","Imid","Ehigh","womanblackyoungImidEhigh",129,-1.44527680109101,-1.12188718880884,-1.78723417734671,0.187625069966265,0.242011508652573,0.143455442805359,0.188984126492575,19.3798449612403,52
"woman","black","young","Ihigh","Emid","womanblackyoungIhighEmid",6,-1.48204673506736,-1.01870112731227,-1.95539351131794,0.183927054125591,0.263490134320829,0.12361002858246,0.185060379333395,16.6666666666667,49
"woman","black","young","Ihigh","Ehigh","womanblackyoungIhighEhigh",38,-1.62693663375244,-1.20859730813601,-2.02039286983306,0.162746181925173,0.224467997370668,0.11373697029172,0.162356266938451,13.1578947368421,23
"woman","black","mid","Ilow","Elow","womanblackmidIlowElow",373,-0.692060516757365,-0.462606000042216,-0.919966475752964,0.333763413896405,0.382961801445123,0.280634150289354,0.332104022170315,34.8525469168901,159
"woman","black","mid","Ilow","Emid","womanblackmidIlowEmid",463,-0.85901587767335,-0.64194186272396,-1.08690493181746,0.296001689053265,0.343016056124437,0.252680618912558,0.296342536778528,30.2375809935205,155
"woman","black","mid","Ilow","Ehigh","womanblackmidIlowEhigh",106,-1.03997794821151,-0.686178534648343,-1.37236698989063,0.260579803896575,0.334214006382147,0.202317290561436,0.260809803537081,27.3584905660377,129
"woman","black","mid","Imid","Elow","womanblackmidImidElow",57,-0.89144055810153,-0.52988471473131,-1.28186631660386,0.288568907749296,0.364955640252559,0.216367284568409,0.288564343508968,29.8245614035088,153
"woman","black","mid","Imid","Emid","womanblackmidImidEmid",180,-0.948407083410099,-0.670079987307401,-1.24628769354086,0.27906888566759,0.343619037342625,0.228336985253854,0.279463200590051,27.7777777777778,148
"woman","black","mid","Imid","Ehigh","womanblackmidImidEhigh",134,-0.927528654269377,-0.627023746378892,-1.25903720916792,0.281373990074957,0.35154196013893,0.221694852504728,0.282364518516219,29.8507462686567,150
"woman","black","mid","Ihigh","Emid","womanblackmidIhighEmid",11,-1.01643028584441,-0.591207921775405,-1.45602108125183,0.264091208475877,0.362520822277633,0.184843920987055,0.264223474948434,27.2727272727273,133
"woman","black","mid","Ihigh","Ehigh","womanblackmidIhighEhigh",60,-1.24138198439649,-0.880588857668806,-1.61492820466385,0.220933906471378,0.296648829668843,0.161798275190614,0.222595744706781,18.3333333333333,79
