"stratum","strata_n"
"midwomanblackIhighElow",0
"youngwomanblackIhighElow",0
"youngwomanbrownIhighElow",0
"youngmanblackIhighElow",2
"youngwomanwhiteIhighElow",2
"oldwomanblackIhighElow",6
"youngwomanblackIhighEmid",6
"youngwomanblackImidElow",7
"youngmanwhiteIhighElow",9
"youngmanbrownIhighElow",10
"midmanblackIhighElow",11
"midwomanblackIhighEmid",11
"midwomanbrownIhighElow",11
"midwomanwhiteIhighElow",15
"oldmanblackIhighElow",20
"oldmanblackIlowEhigh",21
"youngmanblackIhighEmid",22
"midmanwhiteIhighElow",24
"midmanbrownIhighElow",30
"oldwomanblackIhighEmid",32
"oldwomanblackIlowEhigh",32
"youngwomanbrownIhighEmid",34
"oldmanblackIhighEmid",35
"youngwomanblackIhighEhigh",38
"midmanblackIhighEmid",39
"youngwomanwhiteImidElow",41
"oldwomanbrownIhighElow",42
"oldmanblackImidEhigh",43
"youngmanblackImidElow",47
"midmanblackIlowEhigh",50
"youngwomanbrownImidElow",50
"midwomanbrownIhighEmid",56
"youngmanblackIhighEhigh",56
"midwomanblackImidElow",57
"midwomanblackIhighEhigh",60
"midmanblackIhighEhigh",63
"oldwomanblackIhighEhigh",66
"oldmanwhiteIlowEhigh",67
"oldmanbrownIlowEhigh",68
"youngmanblackIlowEhigh",69
"youngmanbrownIhighEmid",70
"youngwomanwhiteIhighEmid",71
"oldmanblackIhighEhigh",72
"oldwomanblackImidEhigh",75
"youngmanwhiteImidElow",82
"oldwomanwhiteIhighElow",84
"oldmanbrownIhighElow",86
"oldwomanwhiteIlowEhigh",103
"youngmanwhiteIhighEmid",103
"midwomanblackIlowEhigh",106
"midwomanwhiteIhighEmid",110
"oldmanwhiteIhighElow",112
"midmanblackImidEhigh",113
"midmanwhiteIlowEhigh",115
"midmanbrownIhighEmid",116
"youngmanblackImidEhigh",122
"midmanblackImidElow",126
"oldwomanbrownIlowEhigh",126
"youngwomanblackImidEhigh",129
"youngwomanblackImidEmid",132
"midwomanblackImidEhigh",134
"youngwomanblackIlowEhigh",139
"oldwomanbrownIhighEmid",149
"midmanwhiteIhighEmid",154
"youngmanbrownImidElow",156
"oldmanblackIlowEmid",165
"oldmanbrownImidEhigh",176
"midwomanblackImidEmid",180
"midmanbrownIlowEhigh",183
"youngmanwhiteIlowEhigh",194
"youngwomanbrownIhighEhigh",203
"youngwomanblackIlowElow",205
"oldmanblackImidEmid",207
"oldwomanblackImidElow",207
"midwomanwhiteImidElow",211
"youngmanbrownIhighEhigh",215
"oldmanbrownIhighEmid",226
"oldwomanblackImidEmid",236
"oldwomanblackIlowEmid",239
"oldmanbrownIhighEhigh",240
"midwomanbrownImidElow",248
"youngmanblackIlowElow",256
"midwomanwhiteIlowEhigh",265
"oldmanblackImidElow",265
"midmanblackImidEmid",268
"midwomanbrownIhighEhigh",274
"youngmanblackImidEmid",278
"oldwomanwhiteIhighEmid",282
"youngmanbrownIlowEhigh",302
"midmanwhiteImidElow",308
"oldmanwhiteImidEhigh",311
"midmanbrownIhighEhigh",317
"youngwomanwhiteIlowEhigh",319
"youngwomanwhiteIlowElow",322
"oldmanwhiteIhighEmid",328
"oldwomanbrownIhighEhigh",332
"midmanblackIlowEmid",340
"midwomanblackIlowElow",373
"oldwomanbrownImidEhigh",401
"youngmanwhiteIlowElow",401
"midwomanbrownIlowEhigh",404
"oldmanwhiteIlowEmid",435
"midmanbrownImidEhigh",448
"midmanblackIlowElow",462
"midwomanblackIlowEmid",463
"midmanbrownImidElow",471
"oldwomanwhiteImidEhigh",483
"youngmanwhiteIhighEhigh",492
"midmanwhiteImidEhigh",500
"youngwomanwhiteIhighEhigh",503
"youngmanbrownImidEhigh",506
"youngmanwhiteImidEhigh",529
"youngwomanwhiteImidEmid",533
"youngmanblackIlowEmid",557
"oldmanblackIlowElow",562
"oldwomanblackIlowElow",587
"youngwomanbrownImidEhigh",596
"oldwomanwhiteIlowEmid",640
"oldmanwhiteIhighEhigh",644
"midmanwhiteIhighEhigh",645
"midwomanbrownImidEhigh",653
"youngwomanbrownIlowEhigh",656
"midwomanwhiteIhighEhigh",665
"midwomanwhiteIlowElow",670
"youngwomanbrownImidEmid",672
"youngwomanblackIlowEmid",676
"midwomanwhiteImidEmid",679
"youngwomanwhiteImidEhigh",696
"midmanwhiteIlowEmid",706
"oldmanbrownIlowEmid",718
"midmanwhiteImidEmid",734
"oldwomanwhiteImidElow",734
"midwomanwhiteImidEhigh",746
"midmanwhiteIlowElow",781
"midwomanbrownImidEmid",787
"oldmanbrownImidEmid",788
"youngmanwhiteImidEmid",833
"oldmanwhiteImidElow",838
"oldwomanbrownImidElow",838
"oldwomanwhiteIhighEhigh",853
"oldmanwhiteImidEmid",880
"oldwomanbrownImidEmid",899
"midwomanwhiteIlowEmid",940
"midmanbrownImidEmid",967
"oldmanbrownImidElow",981
"oldwomanwhiteImidEmid",981
"oldwomanbrownIlowEmid",998
"youngmanwhiteIlowEmid",1013
"youngmanbrownImidEmid",1036
"oldmanwhiteIlowElow",1070
"oldwomanwhiteIlowElow",1113
"youngwomanwhiteIlowEmid",1198
"youngwomanbrownIlowElow",1201
"youngmanbrownIlowElow",1322
"midmanbrownIlowEmid",1483
"midwomanbrownIlowElow",1872
"midmanbrownIlowElow",2180
"midwomanbrownIlowEmid",2190
"oldmanbrownIlowElow",2431
"youngmanbrownIlowEmid",2596
"oldwomanbrownIlowElow",2675
"youngwomanbrownIlowEmid",3373
